IndexID,CollectTime,I Д11,T Д11,I НФ,T НФ
1196,2021-11-24 06:24:35,95,1.5,58,8
1197,2021-11-24 06:29:10,95,1.5,58,8
1198,2021-11-24 15:26:36,95,1.5,58,8
1199,2021-11-24 22:54:23,95,1.5,58,8
1200,2021-11-25 06:25:34,95,1.5,58,8
1201,2021-11-26 05:56:35,95,1.5,58,8
1202,2021-11-27 06:19:03,95,1.5,58,8
1203,2021-11-27 09:13:22,95,1.5,58,8
1204,2021-11-27 13:28:03,95,1.5,58,8
1205,2021-11-28 06:07:56,95,1.5,58,8
1206,2021-11-28 08:54:25,95,1.5,58,8
1207,2021-11-28 08:56:48,95,1.5,58,8
1208,2021-11-29 06:09:46,95,1.5,58,8
1209,2021-11-29 22:55:29,95,1.5,58,8
1210,2021-11-29 22:58:11,95,1.5,58,8
1211,2021-11-29 23:03:08,95,1.5,58,8
1212,2021-11-30 06:12:33,95,1.5,58,8
1213,2021-11-30 15:35:02,95,1.5,58,8
1214,2021-11-30 17:00:51,95,1.5,58,8
1215,2021-11-30 22:09:53,95,1.5,58,8
1216,2021-12-01 06:06:50,95,1.5,58,8
1217,2021-12-02 06:06:43,95,1.5,58,8
1218,2021-12-03 06:42:36,95,1.5,58,8
1219,2021-12-03 08:14:47,95,1.5,58,8
1220,2021-12-03 13:24:12,95,1.5,58,8
1221,2021-12-04 06:27:38,95,1.5,58,8
1222,2021-12-05 08:23:23,95,1.5,58,8
1223,2021-12-06 06:26:14,95,1.5,58,8
1224,2021-12-06 15:27:08,95,1.5,58,8
1225,2021-12-07 06:42:12,95,1.5,58,8
1226,2021-12-08 06:06:36,95,1.5,58,8
1227,2021-12-09 06:45:17,95,1.5,58,8
1228,2021-12-09 07:45:16,95,1.5,58,8
1229,2021-12-09 11:33:50,95,1.5,58,8
1230,2021-12-10 06:14:01,95,1.5,58,8
1231,2021-12-10 18:18:49,95,1.5,58,8
1232,2021-12-11 06:25:20,95,1.5,58,8
1233,2021-12-11 15:23:00,95,1.5,58,8
1234,2021-12-11 17:35:41,95,1.5,58,8
1235,2021-12-11 23:11:55,95,1.5,58,8
1236,2021-12-12 06:16:50,95,1.5,58,8
1237,2021-12-12 17:12:23,95,1.5,58,8
1238,2021-12-13 06:10:03,95,1.5,58,8
1239,2021-12-14 06:35:46,95,1.5,58,8
1240,2021-12-15 06:12:32,95,1.5,58,8
1241,2021-12-15 10:22:12,95,1.5,58,8
1242,2021-12-15 13:16:32,95,1.5,58,8
1243,2021-12-16 06:11:15,95,1.5,58,8
1244,2021-12-16 07:14:00,95,1.5,58,8
1245,2021-12-16 14:42:10,95,1.5,58,8
